date,kelurahan,city,precipitation_mm,temp_max_c,wind_max_kmh,is_weekend,is_holiday,event_attendance,waste_tons,source
2024-05-29,Gambir,Jakarta Pusat,3.0,32.2,11.8,0,0,0,1031.2,synthetic_from_weather_and_case_assumptions
2024-05-30,Gambir,Jakarta Pusat,1.0,32.7,9.8,0,0,0,984.0,synthetic_from_weather_and_case_assumptions
2024-05-31,Gambir,Jakarta Pusat,1.2,33.3,12.6,0,0,0,1035.7,synthetic_from_weather_and_case_assumptions
2024-06-01,Gambir,Jakarta Pusat,3.1,32.2,11.3,1,0,13648,1148.6,synthetic_from_weather_and_case_assumptions
2024-06-02,Gambir,Jakarta Pusat,7.3,32.0,9.4,1,0,48843,1074.7,synthetic_from_weather_and_case_assumptions
2024-06-03,Gambir,Jakarta Pusat,7.6,32.0,10.8,0,0,18024,1011.6,synthetic_from_weather_and_case_assumptions
2024-06-04,Gambir,Jakarta Pusat,0.7,32.8,8.9,0,0,17314,1108.4,synthetic_from_weather_and_case_assumptions
2024-06-05,Gambir,Jakarta Pusat,1.0,32.5,6.7,0,0,14572,1054.4,synthetic_from_weather_and_case_assumptions
2024-06-06,Gambir,Jakarta Pusat,0.8,32.9,11.5,0,0,13358,972.4,synthetic_from_weather_and_case_assumptions
2024-06-07,Gambir,Jakarta Pusat,1.0,32.0,10.9,0,0,27870,1050.3,synthetic_from_weather_and_case_assumptions
2024-06-08,Gambir,Jakarta Pusat,1.1,32.3,11.0,1,0,12848,1012.9,synthetic_from_weather_and_case_assumptions
2024-06-09,Gambir,Jakarta Pusat,13.7,31.2,9.2,1,0,77000,1101.0,synthetic_from_weather_and_case_assumptions
2024-06-10,Gambir,Jakarta Pusat,6.7,32.7,10.7,0,0,11041,1034.4,synthetic_from_weather_and_case_assumptions
2024-06-11,Gambir,Jakarta Pusat,15.3,30.2,16.8,0,0,10976,919.8,synthetic_from_weather_and_case_assumptions
2024-06-12,Gambir,Jakarta Pusat,9.2,30.9,12.0,0,0,13070,915.6,synthetic_from_weather_and_case_assumptions
2024-06-13,Gambir,Jakarta Pusat,10.6,30.9,11.8,0,0,17164,998.5,synthetic_from_weather_and_case_assumptions
2024-06-14,Gambir,Jakarta Pusat,10.8,31.5,9.0,0,0,17623,970.2,synthetic_from_weather_and_case_assumptions
2024-06-15,Gambir,Jakarta Pusat,6.9,32.0,10.5,1,0,26559,1091.6,synthetic_from_weather_and_case_assumptions
2024-06-16,Gambir,Jakarta Pusat,9.7,30.5,7.6,1,0,51465,1040.1,synthetic_from_weather_and_case_assumptions
2024-06-17,Gambir,Jakarta Pusat,0.8,31.6,8.7,0,0,28390,923.1,synthetic_from_weather_and_case_assumptions
2024-06-18,Gambir,Jakarta Pusat,9.3,30.0,11.4,0,0,16515,1126.0,synthetic_from_weather_and_case_assumptions
2024-06-19,Gambir,Jakarta Pusat,0.0,32.3,10.8,0,0,27856,997.4,synthetic_from_weather_and_case_assumptions
2024-06-20,Gambir,Jakarta Pusat,0.0,32.3,10.5,0,0,23746,1013.2,synthetic_from_weather_and_case_assumptions
2024-06-21,Gambir,Jakarta Pusat,0.3,32.7,11.5,0,0,17223,911.9,synthetic_from_weather_and_case_assumptions
2024-06-22,Gambir,Jakarta Pusat,0.0,31.6,9.5,1,0,24719,1013.8,synthetic_from_weather_and_case_assumptions
2024-06-23,Gambir,Jakarta Pusat,0.0,32.8,14.2,1,0,67540,1090.3,synthetic_from_weather_and_case_assumptions
2024-06-24,Gambir,Jakarta Pusat,0.8,31.7,11.6,0,0,10212,925.6,synthetic_from_weather_and_case_assumptions
2024-06-25,Gambir,Jakarta Pusat,6.0,32.3,10.2,0,0,15231,1044.3,synthetic_from_weather_and_case_assumptions
2024-06-26,Gambir,Jakarta Pusat,0.4,32.2,11.9,0,0,23848,971.0,synthetic_from_weather_and_case_assumptions
2024-06-27,Gambir,Jakarta Pusat,4.6,32.5,12.2,0,0,21149,1001.5,synthetic_from_weather_and_case_assumptions
2024-06-28,Gambir,Jakarta Pusat,9.2,31.4,11.5,0,0,19105,993.3,synthetic_from_weather_and_case_assumptions
2024-06-29,Gambir,Jakarta Pusat,6.3,30.5,11.7,1,0,15094,1180.7,synthetic_from_weather_and_case_assumptions
2024-06-30,Gambir,Jakarta Pusat,0.5,31.8,13.0,1,0,59114,1077.0,synthetic_from_weather_and_case_assumptions
2024-07-01,Gambir,Jakarta Pusat,7.4,31.4,9.9,0,0,13349,953.8,synthetic_from_weather_and_case_assumptions
2024-07-02,Gambir,Jakarta Pusat,4.9,30.8,10.5,0,0,13039,1068.3,synthetic_from_weather_and_case_assumptions
2024-07-03,Gambir,Jakarta Pusat,1.6,32.9,10.0,0,0,22449,933.2,synthetic_from_weather_and_case_assumptions
2024-07-04,Gambir,Jakarta Pusat,11.2,31.3,9.5,0,0,13169,1047.3,synthetic_from_weather_and_case_assumptions
2024-07-05,Gambir,Jakarta Pusat,6.4,30.6,17.4,0,0,21763,898.9,synthetic_from_weather_and_case_assumptions
2024-07-06,Gambir,Jakarta Pusat,18.0,28.5,15.7,1,0,21270,1013.6,synthetic_from_weather_and_case_assumptions
2024-07-07,Gambir,Jakarta Pusat,5.7,30.4,8.8,1,0,67117,1112.5,synthetic_from_weather_and_case_assumptions
2024-07-08,Gambir,Jakarta Pusat,26.4,31.9,10.3,0,0,11423,1125.5,synthetic_from_weather_and_case_assumptions
2024-07-09,Gambir,Jakarta Pusat,10.9,30.5,9.4,0,0,25054,1053.4,synthetic_from_weather_and_case_assumptions
2024-07-10,Gambir,Jakarta Pusat,0.0,32.0,10.4,0,0,27571,1004.3,synthetic_from_weather_and_case_assumptions
2024-07-11,Gambir,Jakarta Pusat,0.2,32.2,12.0,0,0,14090,982.2,synthetic_from_weather_and_case_assumptions
2024-07-12,Gambir,Jakarta Pusat,0.0,31.9,10.2,0,0,22403,911.6,synthetic_from_weather_and_case_assumptions
2024-07-13,Gambir,Jakarta Pusat,0.0,32.2,11.7,1,0,12582,992.8,synthetic_from_weather_and_case_assumptions
2024-07-14,Gambir,Jakarta Pusat,0.0,31.4,10.4,1,0,67302,1053.0,synthetic_from_weather_and_case_assumptions
2024-07-15,Gambir,Jakarta Pusat,0.0,32.0,8.0,0,0,21850,1076.0,synthetic_from_weather_and_case_assumptions
2024-07-16,Gambir,Jakarta Pusat,0.0,32.0,13.2,0,0,28918,1035.2,synthetic_from_weather_and_case_assumptions
2024-07-17,Gambir,Jakarta Pusat,0.2,32.0,11.3,0,0,16300,888.9,synthetic_from_weather_and_case_assumptions
2024-07-18,Gambir,Jakarta Pusat,0.3,32.0,8.4,0,0,12279,1021.7,synthetic_from_weather_and_case_assumptions
2024-07-19,Gambir,Jakarta Pusat,0.4,32.7,10.8,0,0,11501,975.3,synthetic_from_weather_and_case_assumptions
2024-07-20,Gambir,Jakarta Pusat,0.0,32.7,14.4,1,0,17467,999.4,synthetic_from_weather_and_case_assumptions
2024-07-21,Gambir,Jakarta Pusat,0.0,33.3,17.9,1,0,44711,1104.8,synthetic_from_weather_and_case_assumptions
2024-07-22,Gambir,Jakarta Pusat,0.0,33.8,19.1,0,0,17628,1071.0,synthetic_from_weather_and_case_assumptions
